KT3D ESTIMATES WITH:   Conditioning data                                        
2
Estimate
EstimationVariance
    5.156     1.154
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    6.306     1.159
    6.306     1.159
    6.306     1.159
    6.306     1.159
    6.306     1.159
    6.306     1.159
    6.287     1.157
    6.240     1.153
    6.170     1.147
    6.078     1.137
    5.970     1.125
    5.848     1.109
    5.717     1.090
    5.584     1.068
    5.454     1.044
    5.337     1.021
    5.057     1.004
    4.994     0.988
    4.968     0.979
    4.983     0.979
    5.034     0.984
    4.483     0.990
    4.582     0.998
    4.696     1.002
    4.823     1.001
    4.955     0.998
    5.087     0.992
    5.215     0.986
    5.332     0.980
    5.741     0.969
    5.822     0.959
    5.882     0.945
    5.930     0.925
    6.508     0.904
    6.545     0.881
    6.580     0.867
    6.610     0.870
    6.634     0.892
    6.651     0.925
    6.660     0.963
    6.660     0.999
    6.657     1.032
    6.652     1.061
    6.645     1.085
    6.638     1.105
    6.631     1.120
    6.623     1.132
    6.617     1.141
    6.612     1.147
    6.609     1.149
    6.609     1.149
    6.609     1.149
    6.609     1.149
    6.603     1.149
    6.557     1.146
    5.676     1.155
    5.564     1.146
    5.422     1.132
    5.251     1.113
    5.056     1.089
    4.840     1.059
    4.607     1.022
    4.362     0.979
    4.112     0.930
    3.866     0.876
    3.649     0.825
    3.518     0.793
    3.552     0.802
    3.726     0.844
    3.959     0.897
    4.208     0.949
    4.457     0.996
    4.698     1.037
    4.925     1.071
    5.134     1.099
    5.320     1.121
    5.480     1.138
    5.611     1.150
    5.710     1.158
    5.773     1.163
    5.797     1.165
    5.797     1.165
    5.797     1.165
    5.797     1.165
    5.797     1.165
    5.797     1.165
    6.153     1.182
    5.156     1.154
    5.156     1.154
    5.156     1.154
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.701     1.147
    5.704     1.147
    5.707     1.147
    5.707     1.147
    5.705     1.147
    5.702     1.147
    5.701     1.147
    6.306     1.159
    6.306     1.159
    6.306     1.159
    6.306     1.159
    6.306     1.159
    6.304     1.159
    6.279     1.157
    6.226     1.152
    6.149     1.145
    6.050     1.134
    5.935     1.121
    5.805     1.103
    5.667     1.082
    5.526     1.058
    5.388     1.032
    5.078     1.010
    4.981     0.986
    4.914     0.968
    4.888     0.959
    4.908     0.959
    4.359     0.964
    4.452     0.974
    4.560     0.982
    4.683     0.985
    4.818     0.984
    4.958     0.980
    5.097     0.973
    5.229     0.967
    5.862     0.960
    5.748     0.951
    5.833     0.942
    5.897     0.927
    5.948     0.906
    6.503     0.883
    6.543     0.856
    6.580     0.840
    6.613     0.844
    6.639     0.872
    6.657     0.911
    6.667     0.952
    6.667     0.991
    6.664     1.025
    6.658     1.055
    6.651     1.081
    6.643     1.101
    6.635     1.118
    6.627     1.131
    6.619     1.140
    6.614     1.146
    6.610     1.149
    6.609     1.149
    6.609     1.149
    6.609     1.149
    6.600     1.149
    5.746     1.161
    5.664     1.154
    5.548     1.144
    5.400     1.130
    5.225     1.110
    5.025     1.085
    4.803     1.054
    4.564     1.015
    4.312     0.969
    4.051     0.917
    3.791     0.859
    3.552     0.802
    3.402     0.763
    3.464     0.779
    3.676     0.832
    3.930     0.891
    4.192     0.946
    4.449     0.995
    4.695     1.037
    4.925     1.071
    5.135     1.099
    5.323     1.121
    5.483     1.138
    5.614     1.150
    5.713     1.158
    5.775     1.163
    5.797     1.165
    5.797     1.165
    5.797     1.165
    5.797     1.165
    6.153     1.182
    6.153     1.182
    5.156     1.154
    5.156     1.154
    5.156     1.154
    5.156     1.154
    5.156     1.154
    5.701     1.147
    5.701     1.147
    5.704     1.147
    5.712     1.147
    5.720     1.146
    5.725     1.146
    5.726     1.146
    5.722     1.146
    5.714     1.147
    5.706     1.147
    6.307     1.159
    6.306     1.159
    6.306     1.159
