Semivariogram           tail:primary - Z  head:primary - Z   direction  1 
   1        1.000      0.49119     2450        2.53364        2.53909
   2        2.000      0.62754     2400        2.49753        2.52300
   3        3.000      0.75987     2350        2.46945        2.50771
   4        4.000      0.81914     2300        2.45293        2.49312
   5        5.000      0.83200     2250        2.46641        2.49146
   6        6.000      0.88963     2200        2.48491        2.50075
   7        7.000      0.93963     2150        2.50757        2.52079
   8        8.000      0.96571     2100        2.53510        2.53821
   9        9.000      1.00641     2050        2.55013        2.56459
  10       10.000      0.99615     2000        2.57868        2.55968
Semivariogram           tail:primary - Z  head:primary - Z   direction  2 
   1        1.000      0.49560     2450        2.61572        2.51775
   2        2.000      0.63327     2400        2.64921        2.45918
   3        3.000      0.67552     2350        2.68369        2.37889
   4        4.000      0.72309     2300        2.72356        2.34000
   5        5.000      0.75444     2250        2.75722        2.31314
   6        6.000      0.83449     2200        2.79176        2.30304
   7        7.000      0.85967     2150        2.78771        2.27861
   8        8.000      0.89283     2100        2.78614        2.25039
   9        9.000      0.87210     2050        2.79200        2.17433
  10       10.000      0.89131     2000        2.81165        2.15231
Covariance              tail:primary - Z  head:primary - Z   direction  1 
   1        1.000     13.83310     2450        2.53364        2.53909
   2        2.000     17.48083     2400        2.49753        2.52300
   3        3.000     21.14214     2350        2.46945        2.50771
   4        4.000     22.83031     2300        2.45293        2.49312
   5        5.000     22.85841     2250        2.46641        2.49146
   6        6.000     23.95840     2200        2.48491        2.50075
   7        7.000     24.82579     2150        2.50757        2.52079
   8        8.000     24.99449     2100        2.53510        2.53821
   9        9.000     25.70568     2050        2.55013        2.56459
  10       10.000     25.28676     2000        2.57868        2.55968
Covariance              tail:primary - Z  head:primary - Z   direction  2 
   1        1.000     13.50826     2450        2.61572        2.51775
   2        2.000     17.27676     2400        2.64921        2.45918
   3        3.000     20.33587     2350        2.68369        2.37889
   4        4.000     21.39971     2300        2.72356        2.34000
   5        5.000     21.96314     2250        2.75722        2.31314
   6        6.000     23.71196     2200        2.79176        2.30304
   7        7.000     24.94315     2150        2.78771        2.27861
   8        8.000     25.81536     2100        2.78614        2.25039
   9        9.000     26.34780     2050        2.79200        2.17433
  10       10.000     26.89858     2000        2.81165        2.15231
Semivariogram           tail:secondary -  head:secondary -   direction  1 
   1        1.000      0.04458     2450        2.27962        2.29790
   2        2.000      0.15073     2400        2.24517        2.27434
   3        3.000      0.30106     2350        2.21705        2.25246
   4        4.000      0.46603     2300        2.20160        2.23949
   5        5.000      0.61269     2250        2.20315        2.23192
   6        6.000      0.72516     2200        2.21249        2.23038
   7        7.000      0.79993     2150        2.22888        2.23647
   8        8.000      0.84182     2100        2.24862        2.24998
   9        9.000      0.85653     2050        2.27125        2.26228
  10       10.000      0.85512     2000        2.29383        2.27168
Semivariogram           tail:secondary -  head:secondary -   direction  2 
   1        1.000      0.04345     2450        2.34399        2.25918
   2        2.000      0.13868     2400        2.36914        2.20534
   3        3.000      0.27425     2350        2.39641        2.16029
   4        4.000      0.43381     2300        2.42585        2.13018
   5        5.000      0.59807     2250        2.45196        2.11109
   6        6.000      0.73341     2200        2.47143        2.10190
   7        7.000      0.84450     2150        2.48291        2.09609
   8        8.000      0.92881     2100        2.48809        2.09287
   9        9.000      0.98364     2050        2.48430        2.09213
  10       10.000      0.99453     2000        2.46351        2.09358
Covariance              tail:secondary -  head:secondary -   direction  1 
   1        1.000      0.60688     2450        2.27962        2.29790
   2        2.000      1.59436     2400        2.24517        2.27434
   3        3.000      2.83919     2350        2.21705        2.25246
   4        4.000      4.07084     2300        2.20160        2.23949
   5        5.000      5.08763     2250        2.20315        2.23192
   6        6.000      5.82645     2200        2.21249        2.23038
   7        7.000      6.27272     2150        2.22888        2.23647
   8        8.000      6.46384     2100        2.24862        2.24998
   9        9.000      6.47175     2050        2.27125        2.26228
  10       10.000      6.37471     2000        2.29383        2.27168
Covariance              tail:secondary -  head:secondary -   direction  2 
   1        1.000      0.50531     2450        2.34399        2.25918
   2        2.000      1.33476     2400        2.36914        2.20534
   3        3.000      2.38235     2350        2.39641        2.16029
   4        4.000      3.53298     2300        2.42585        2.13018
   5        5.000      4.67118     2250        2.45196        2.11109
   6        6.000      5.58093     2200        2.47143        2.10190
   7        7.000      6.35969     2150        2.48291        2.09609
   8        8.000      6.98668     2100        2.48809        2.09287
   9        9.000      7.42961     2050        2.48430        2.09213
  10       10.000      7.71514     2000        2.46351        2.09358
