Semivariogram           tail:Primary      head:Primary       direction  1 
   1        0.000      0.00000      280        4.35043        4.35043
   2        1.715      1.21809      344        8.25648        8.25648
   3        5.398      1.14289     1462        5.46949        5.46949
   4       10.106      1.09755     2402        4.39970        4.39970
   5       14.980      0.84303     2954        4.22077        4.22077
   6       19.812      0.92667     2928        3.74417        3.74417
   7       24.903      1.02446     3240        4.00354        4.00354
   8       29.897      1.07828     3188        4.20921        4.20921
   9       34.796      0.96179     2614        3.78018        3.78018
  10       39.731      1.14987     2168        4.61536        4.61536
  11       44.571      0.83107     1482        5.09089        5.09089
  12       49.026      0.66500      526        4.56597        4.56597
Semivariogram           tail:Primary      head:Primary       direction  2 
   1        0.000      0.00000      140        4.35043        4.35043
   2        1.581      0.68244       43        7.99814        7.99558
   3        5.252      1.29545      213        6.91756        6.24183
   4       10.048      0.81192      325        3.10018        4.84182
   5       14.829      0.69404      379        3.48739        4.04744
   6       19.889      0.74638      388        2.59619        4.63003
   7       24.699      0.92683      410        1.98176        5.20532
   8       29.882      1.17737      383        2.47809        5.17911
   9       34.816      1.62600      302        2.63924        6.08447
  10       39.361      1.74449      209        2.32005        6.51976
  11       44.443      0.51050       88        0.60795        4.36432
  12       48.021      0.46800       10        0.41500        4.32300
Semivariogram           tail:Primary      head:Primary       direction  3 
   1        0.000      0.00000      140        4.35043        4.35043
   2        1.688      1.23033       48       10.39250        7.48938
   3        5.271      0.74818      186        5.53903        3.91215
   4        9.952      1.15801      274        4.93161        3.22383
   5       15.131      1.04629      356        4.34725        4.21463
   6       19.576      1.19863      385        3.87356        4.17714
   7       25.010      0.93131      442        3.13217        4.43176
   8       29.886      0.71220      467        3.48869        4.29615
   9       34.630      0.41674      364        2.67626        3.04170
  10       39.443      0.43949      237        4.20511        1.78570
  11       44.500      0.51206      150        5.42800        1.38873
  12       48.483      0.77328       27        7.18074        0.97852
Covariance              tail:Primary      head:Primary       direction  1 
   1        0.000     44.92429      280        4.35043        4.35043
   2        1.715     16.12956      344        8.25648        8.25648
   3        5.398      5.48942     1462        5.46949        5.46949
   4       10.106      0.37406     2402        4.39970        4.39970
   5       14.980      0.34436     2954        4.22077        4.22077
   6       19.812     -3.32888     2928        3.74417        3.74417
   7       24.903     -3.21681     3240        4.00354        4.00354
   8       29.897     -3.80482     3188        4.20921        4.20921
   9       34.796     -5.42132     2614        3.78018        3.78018
  10       39.731     -1.02709     2168        4.61536        4.61536
  11       44.571      7.18694     1482        5.09089        5.09089
  12       49.026      1.81826      526        4.56597        4.56597
Covariance              tail:Primary      head:Primary       direction  2 
   1        0.000     44.92429      140        4.35043        4.35043
   2        1.581      2.14988       43        7.99814        7.99558
   3        5.252      7.64523      213        6.91756        6.24183
   4       10.048     -1.07013      325        3.10018        4.84182
   5       14.829     -1.59642      379        3.48739        4.04744
   6       19.889     -1.08187      388        2.59619        4.63003
   7       24.699     -3.27562      410        1.98176        5.20532
   8       29.882     -6.22481      383        2.47809        5.17911
   9       34.816     -8.72070      302        2.63924        6.08447
  10       39.361     -9.00120      209        2.32005        6.51976
  11       44.443     -0.43385       88        0.60795        4.36432
  12       48.021     -0.42312       10        0.41500        4.32300
Covariance              tail:Primary      head:Primary       direction  3 
   1        0.000     44.92429      140        4.35043        4.35043
   2        1.688     33.19549       48       10.39250        7.48938
   3        5.271      5.61785      186        5.53903        3.91215
   4        9.952     -2.77651      274        4.93161        3.22383
   5       15.131     -3.49238      356        4.34725        4.21463
   6       19.576     -5.70194      385        3.87356        4.17714
   7       25.010     -4.36079      442        3.13217        4.43176
   8       29.886     -4.10909      467        3.48869        4.29615
   9       34.630     -3.77047      364        2.67626        3.04170
  10       39.443     -3.10778      237        4.20511        1.78570
  11       44.500     -0.80095      150        5.42800        1.38873
  12       48.483     -1.31084       27        7.18074        0.97852
Semivariogram           tail:Secondary    head:Secondary     direction  1 
   1        0.000      0.00000      280        4.14021        4.14021
   2        1.715      0.24535      344        7.90526        7.90526
   3        5.398      0.71488     1462        5.00354        5.00354
   4       10.106      0.83014     2402        3.81221        3.81221
   5       14.980      0.85654     2954        3.89698        3.89698
   6       19.812      0.93286     2928        3.59535        3.59535
   7       24.903      0.88977     3240        3.62590        3.62590
   8       29.897      1.04924     3188        3.73242        3.73242
   9       34.796      1.11161     2614        3.67907        3.67907
  10       39.731      1.19950     2168        4.72536        4.72536
  11       44.571      1.47257     1482        5.89316        5.89316
  12       49.026      1.74869      526        5.46238        5.46238
Semivariogram           tail:Secondary    head:Secondary     direction  2 
   1        0.000      0.00000      140        4.14021        4.14021
   2        1.581      0.24611       43        8.04349        8.40488
   3        5.252      0.91462      213        6.79070        5.20540
